Episode,Steps,WoodCollected,TotalReward,AvgReward,Epsilon,MoveActions,TurnActions,AttackActions
0,5575,3,-2080.0,-0.37309417040358744,1.0,3019,1725,756
1,3558,3,4110.0,1.1551433389544687,0.995,1924,1173,421
2,4771,3,6180.0,1.295325927478516,0.990025,2553,1518,642
3,727,3,9900.0,13.617606602475929,0.985074875,370,241,107
4,1353,3,9260.0,6.844050258684405,0.9801495006250001,684,444,193
5,4349,3,6860.0,1.5773741089905726,0.9752487531218751,2344,1367,561
6,3223,3,-4080.0,-1.26590133416072,0.9703725093562657,1656,1060,463
7,2689,3,5920.0,2.2015619189289697,0.9655206468094844,1409,863,355
8,1032,3,10000.0,9.689922480620154,0.960693043575437,551,320,141
9,4700,3,-1640.0,-0.34893617021276596,0.9558895783575597,2432,1493,634
10,4464,3,4990.0,1.117831541218638,0.9511101304657719,2272,1491,577
11,2739,3,12500.0,4.563709382986492,0.946354579813443,1442,876,346
12,3787,3,-6090.0,-1.6081330868761552,0.9416228069143757,1934,1297,422
13,5867,2,-21150.0,-3.604908811999318,0.9369146928798039,2970,2024,720
14,1699,3,8260.0,4.861683343143025,0.9322301194154049,867,552,206
15,1341,3,11160.0,8.322147651006711,0.9275689688183278,708,402,198
16,4222,3,-8880.0,-2.1032685930838464,0.9229311239742362,2286,1298,483
17,5223,3,-6510.0,-1.2464101091326825,0.918316468354365,2657,1734,662
18,5243,3,3290.0,0.6275033377837116,0.9137248860125932,2618,1724,706
19,5442,3,-5920.0,-1.087835354649026,0.9091562615825302,2837,1707,715
20,2457,3,-1270.0,-0.5168905168905169,0.9046104802746175,1322,714,362
21,3776,3,-3310.0,-0.8765889830508474,0.9000874278732445,1870,1173,520
22,3768,3,-2060.0,-0.5467091295116773,0.8955869907338783,1996,1181,453
23,3007,3,3660.0,1.217159960093116,0.8911090557802088,1515,948,403
24,5891,2,-17870.0,-3.0334408419623156,0.8866535105013078,2993,1879,754
25,4710,3,-10060.0,-2.1358811040339702,0.8822202429488013,2335,1606,544
26,3626,3,-880.0,-0.24269167126309985,0.8778091417340573,1875,1146,448
27,5853,2,-31800.0,-5.433111225012814,0.8734200960253871,2969,1887,686
28,1031,3,4620.0,4.481086323957323,0.8690529955452602,512,343,128
29,2753,3,2570.0,0.9335270613875772,0.8647077305675338,1378,894,360
30,3556,3,-6110.0,-1.71822272215973,0.8603841919146962,1676,1160,470
31,4604,3,-5380.0,-1.1685490877497828,0.8560822709551227,2287,1511,527
32,1023,3,8410.0,8.220918866080156,0.851801859600347,463,358,132
33,5206,3,-4140.0,-0.7952362658470995,0.8475428503023453,2546,1653,649
34,3070,3,-4400.0,-1.4332247557003257,0.8433051360508336,1441,1031,402
35,1340,3,12080.0,9.014925373134329,0.8390886103705794,703,388,168
36,2280,3,2390.0,1.0482456140350878,0.8348931673187264,1122,695,298
37,3009,3,-2890.0,-0.96045197740113,0.8307187014821328,1487,957,361
38,2122,3,14490.0,6.828463713477851,0.8265651079747222,953,720,374
39,5840,1,-11850.0,-2.029109589041096,0.8224322824348486,2749,1966,662
40,4456,3,-11430.0,-2.56508078994614,0.8183201210226743,2113,1459,520
41,5817,1,-19350.0,-3.32645693656524,0.8142285204175609,2565,2077,688
42,1774,3,4850.0,2.733934611048478,0.810157377815473,844,563,228
43,4881,3,-3700.0,-0.7580413849620979,0.8061065909263957,2290,1619,539
44,1385,3,4260.0,3.0758122743682312,0.8020760579717637,627,458,156
45,4627,3,-14900.0,-3.22022909012319,0.798065677681905,2070,1566,566
46,2940,3,-5740.0,-1.9523809523809523,0.7940753492934954,1339,953,362
47,5373,3,-7620.0,-1.4182021217197096,0.7901049725470279,2529,1697,638
48,2055,3,1620.0,0.7883211678832117,0.7861544476842928,927,695,245
49,3463,3,300.0,0.08663008951775916,0.7822236754458713,1626,1196,368
