Episode,Steps,WoodCollected,TotalReward,AvgReward,Epsilon,MoveActions,TurnActions,AttackActions
0,1746,3,8900.0,5.097365406643757,1.0,908,588,226
1,1089,3,8050.0,7.392102846648301,0.995,569,347,150
2,5872,0,-11450.0,-1.9499318801089918,0.990025,3046,2007,711
3,5867,0,-14510.0,-2.4731549343787287,0.985074875,3227,1836,734
4,5874,0,-12640.0,-2.1518556350017026,0.9801495006250001,3154,1877,736
5,5868,0,-14360.0,-2.447171097477846,0.9752487531218751,3142,1864,774
6,5878,0,-19910.0,-3.3872065328342975,0.9703725093562657,3109,1835,796
7,5863,0,-15620.0,-2.6641651031894935,0.9655206468094844,3097,1848,815
8,5865,0,-17770.0,-3.029838022165388,0.960693043575437,3043,1890,783
9,5874,0,-25730.0,-4.380320054477358,0.9558895783575597,3101,1856,754
10,687,3,10440.0,15.196506550218341,0.9511101304657719,366,237,68
11,1023,3,9650.0,9.433040078201369,0.946354579813443,562,298,125
12,5870,1,-13070.0,-2.2265758091993186,0.9416228069143757,3133,1801,747
13,5856,0,-11010.0,-1.8801229508196722,0.9369146928798039,3165,1774,718
14,5865,0,-31400.0,-5.353793691389599,0.9322301194154049,3088,1825,814
15,5868,0,-22770.0,-3.8803680981595092,0.9275689688183278,3094,1879,731
16,5875,1,-10090.0,-1.7174468085106382,0.9229311239742362,3110,1905,674
17,5868,1,-26710.0,-4.551806407634628,0.918316468354365,3015,1959,696
18,5873,0,-32370.0,-5.511663545036608,0.9137248860125932,3119,1819,732
19,5843,0,-19030.0,-3.2568885846311826,0.9091562615825302,2935,1886,748
20,5847,0,-19940.0,-3.410295878228151,0.9046104802746175,2974,1882,754
21,5857,0,-21650.0,-3.6964316202834215,0.9000874278732445,2881,1959,764
22,5840,0,-22140.0,-3.791095890410959,0.8955869907338783,3028,1853,724
23,5851,0,-23850.0,-4.076226286104939,0.8911090557802088,2897,1975,730
24,5853,0,-10520.0,-1.7973688706646165,0.8866535105013078,2849,1961,804
25,5852,0,-23800.0,-4.0669856459330145,0.8822202429488013,2976,2010,668
26,5849,0,-25560.0,-4.369977773978458,0.8778091417340573,2890,1928,733
27,5848,0,-17490.0,-2.9907660738714092,0.8734200960253871,2929,1945,703
28,5851,0,-28270.0,-4.831652708938643,0.8690529955452602,2916,1955,729
29,5846,2,-24710.0,-4.226821758467328,0.8647077305675338,3060,1831,697
30,5849,0,-23330.0,-3.98871601983245,0.8603841919146962,3028,1841,698
31,5839,0,-26120.0,-4.473368727521836,0.8560822709551227,3028,1907,645
32,5856,0,-33370.0,-5.6984289617486334,0.851801859600347,2994,1813,712
33,5847,0,-22970.0,-3.928510347186591,0.8475428503023453,2959,1878,744
34,5849,0,-24560.0,-4.199008377500427,0.8433051360508336,2949,1883,645
35,5857,0,-33970.0,-5.799897558477036,0.8390886103705794,3071,1820,709
36,5852,0,-20010.0,-3.4193438140806562,0.8348931673187264,2998,1867,731
37,5856,0,-23600.0,-4.030054644808743,0.8307187014821328,2955,1774,789
38,5849,0,-26760.0,-4.575141049752094,0.8265651079747222,2960,1818,775
39,5855,0,-28060.0,-4.792485055508113,0.8224322824348486,2879,1897,676
40,5856,0,-28940.0,-4.941939890710382,0.8183201210226743,2917,1976,643
41,5847,0,-20640.0,-3.5300153925089788,0.8142285204175609,3069,1764,651
42,5820,0,-15990.0,-2.747422680412371,0.810157377815473,2889,1900,734
43,5743,0,-25830.0,-4.497649312206164,0.8061065909263957,2915,1870,628
44,5759,0,-26990.0,-4.686577530821324,0.8020760579717637,2977,1789,668
45,5761,0,-13730.0,-2.383266793959382,0.798065677681905,2770,1918,685
46,5765,1,-30920.0,-5.363399826539462,0.7940753492934954,2830,1924,649
47,5750,0,-31220.0,-5.429565217391304,0.7901049725470279,2858,1852,643
48,5774,0,-23760.0,-4.114998268098372,0.7861544476842928,2867,1858,769
49,5761,0,-16250.0,-2.8206908522825898,0.7822236754458713,2779,1852,696
