Episode,Steps,WoodCollected,TotalReward,AvgReward,Epsilon,MoveActions,TurnActions,AttackActions
0,4599,3,-1570.0,-0.34137856055664273,1.0,2409,1490,651
1,5879,1,-14810.0,-2.5191359074672564,0.995,3130,1890,794
2,1889,3,5640.0,2.985706723133933,0.990025,1006,647,225
3,5872,2,-10230.0,-1.74216621253406,0.985074875,3119,1828,803
4,3314,3,-620.0,-0.18708509354254677,0.9801495006250001,1736,1078,422
5,3622,3,-930.0,-0.2567642186637217,0.9752487531218751,1844,1146,551
6,5186,3,-1690.0,-0.32587736212880836,0.9703725093562657,2661,1613,782
7,5888,2,-9000.0,-1.528532608695652,0.9655206468094844,3064,1937,757
8,2762,3,-430.0,-0.1556842867487328,0.960693043575437,1446,872,379
9,5021,3,-5140.0,-1.0237004580760805,0.9558895783575597,2659,1671,587
10,1765,3,11830.0,6.7025495750708215,0.9511101304657719,925,583,214
11,1895,3,2630.0,1.3878627968337731,0.946354579813443,940,615,266
12,4916,3,-2570.0,-0.5227827502034175,0.9416228069143757,2529,1610,640
13,1965,3,8820.0,4.488549618320611,0.9369146928798039,1008,621,256
14,3510,3,-4090.0,-1.1652421652421652,0.9322301194154049,1881,1065,403
15,1909,3,12780.0,6.694604504976428,0.9275689688183278,1022,581,248
16,2884,3,230.0,0.07975034674063801,0.9229311239742362,1516,918,316
17,2064,3,4260.0,2.063953488372093,0.918316468354365,1045,688,251
18,2542,3,7800.0,3.068450039339103,0.9137248860125932,1279,882,300
19,1753,3,4100.0,2.338847689674843,0.9091562615825302,886,566,219
20,3174,3,-2750.0,-0.8664146187775678,0.9046104802746175,1673,1022,361
21,1574,3,6020.0,3.8246505717916137,0.9000874278732445,896,425,212
22,1936,3,6860.0,3.543388429752066,0.8955869907338783,962,700,212
23,5935,1,-15540.0,-2.6183656276326874,0.8911090557802088,2950,1909,760
24,2969,3,-4820.0,-1.6234422364432468,0.8866535105013078,1506,996,348
25,5260,3,-11750.0,-2.2338403041825097,0.8822202429488013,2667,1741,657
26,1779,3,9340.0,5.250140528386734,0.8778091417340573,877,607,212
27,5897,1,-18640.0,-3.1609292860776668,0.8734200960253871,2960,1895,640
28,5900,1,-29380.0,-4.979661016949152,0.8690529955452602,2895,1917,672
29,1393,3,8340.0,5.987078248384781,0.8647077305675338,679,460,212
30,2596,3,3830.0,1.475346687211094,0.8603841919146962,1296,831,342
31,2719,3,3860.0,1.4196395733725635,0.8560822709551227,1364,777,368
32,5861,2,-30850.0,-5.263606893021668,0.851801859600347,2843,1984,658
33,4192,3,-4310.0,-1.028148854961832,0.8475428503023453,2149,1321,464
34,2796,3,1100.0,0.39341917024320455,0.8433051360508336,1431,854,318
35,430,3,9920.0,23.069767441860463,0.8390886103705794,210,146,62
36,5122,3,-10160.0,-1.9836001561889887,0.8348931673187264,2398,1710,654
37,5942,2,-24240.0,-4.079434533826994,0.8307187014821328,2992,1921,714
38,1487,3,10120.0,6.805648957632818,0.8265651079747222,809,440,147
39,4314,3,-4130.0,-0.9573481687528975,0.8224322824348486,2017,1443,520
40,5864,1,-20920.0,-3.567530695770805,0.8183201210226743,2843,1958,710
41,5885,0,-24080.0,-4.091758708581138,0.8142285204175609,2799,1974,647
42,4705,3,-7540.0,-1.6025504782146653,0.810157377815473,2366,1495,519
43,4819,3,-16760.0,-3.477899979248807,0.8061065909263957,2295,1676,589
44,5636,3,9840.0,1.745919091554294,0.8020760579717637,2660,1871,707
45,4129,3,-8180.0,-1.9811092274158393,0.798065677681905,1989,1321,472
46,1309,3,6390.0,4.881588999236058,0.7940753492934954,665,413,150
47,5382,3,-6240.0,-1.1594202898550725,0.7901049725470279,2570,1876,649
48,1402,3,-3710.0,-2.646219686162625,0.7861544476842928,659,467,144
49,2433,3,-3800.0,-1.5618577887381833,0.7822236754458713,1147,804,284
