Episode,Steps,WoodCollected,TotalReward,AvgReward,Epsilon,MoveActions,TurnActions,AttackActions
0,3624,3,2390.0,0.6594922737306843,1.0,2005,1069,509
1,1564,3,7880.0,5.038363171355499,0.995,875,490,170
2,2025,3,5250.0,2.5925925925925926,0.990025,1039,702,271
3,2894,3,5280.0,1.824464409122322,0.985074875,1519,911,420
4,2450,3,7270.0,2.9673469387755103,0.9801495006250001,1308,778,325
5,4697,3,15500.0,3.2999787098147753,0.9752487531218751,2552,1438,640
6,2416,3,3110.0,1.2872516556291391,0.9703725093562657,1303,752,301
7,965,3,9160.0,9.492227979274611,0.9655206468094844,521,292,131
8,4407,3,2490.0,0.5650102110279102,0.960693043575437,2411,1374,539
9,786,3,9270.0,11.793893129770993,0.9558895783575597,391,270,109
10,2027,3,5400.0,2.664035520473606,0.9511101304657719,1146,602,235
11,2253,3,4660.0,2.068353306702175,0.946354579813443,1199,731,278
12,2230,3,5490.0,2.4618834080717487,0.9416228069143757,1155,799,246
13,5692,3,-10120.0,-1.7779339423752636,0.9369146928798039,2911,1862,782
14,2416,3,7550.0,3.125,0.9322301194154049,1244,770,339
15,2604,3,2350.0,0.9024577572964669,0.9275689688183278,1347,883,306
16,4084,3,2590.0,0.6341821743388835,0.9229311239742362,2065,1386,500
17,3289,3,300.0,0.09121313469139557,0.918316468354365,1650,1060,379
18,3770,3,-3300.0,-0.8753315649867374,0.9137248860125932,1864,1258,514
19,2236,3,3900.0,1.744186046511628,0.9091562615825302,1111,753,279
20,4172,3,-1800.0,-0.4314477468839885,0.9046104802746175,2111,1342,545
21,5332,3,-12860.0,-2.4118529632408103,0.9000874278732445,2668,1832,652
22,5897,2,-14920.0,-2.5301000508733256,0.8955869907338783,2997,1843,839
23,3558,3,-790.0,-0.22203485103991005,0.8911090557802088,1809,1134,442
24,3025,3,-5820.0,-1.9239669421487604,0.8866535105013078,1550,981,362
25,2561,3,-2910.0,-1.1362748926200703,0.8822202429488013,1291,865,306
26,3139,3,1130.0,0.35998725708824464,0.8778091417340573,1576,1053,394
27,3396,3,3920.0,1.154299175500589,0.8734200960253871,1660,1141,462
28,5786,3,-2150.0,-0.37158658831662633,0.8690529955452602,3027,1871,705
29,5315,3,-11540.0,-2.171213546566322,0.8647077305675338,2702,1728,664
30,5881,2,-20480.0,-3.4824009522190105,0.8603841919146962,2840,2003,785
31,2396,3,1340.0,0.5592654424040067,0.8560822709551227,1264,717,311
32,869,3,10290.0,11.841196777905639,0.851801859600347,394,326,112
33,5219,3,-2480.0,-0.475186817397969,0.8475428503023453,2633,1660,646
34,5115,3,-3370.0,-0.6588465298142717,0.8433051360508336,2550,1685,595
35,5748,3,-14330.0,-2.493041057759221,0.8390886103705794,2812,1983,665
36,2225,3,8340.0,3.748314606741573,0.8348931673187264,1128,692,271
37,2384,3,6720.0,2.8187919463087248,0.8307187014821328,1169,778,294
38,1405,3,6220.0,4.427046263345196,0.8265651079747222,717,490,142
39,5397,3,-10020.0,-1.8565869927737633,0.8224322824348486,2762,1813,588
40,2312,3,4670.0,2.0198961937716264,0.8183201210226743,1128,762,273
41,569,3,10440.0,18.34797891036907,0.8142285204175609,293,204,52
42,1774,3,6770.0,3.8162344983089063,0.810157377815473,846,616,214
43,1894,3,5310.0,2.8035902851108765,0.8061065909263957,901,646,255
44,2602,3,-1710.0,-0.6571867794004612,0.8020760579717637,1351,830,285
45,5874,0,-22690.0,-3.8627851549199863,0.798065677681905,2810,1987,684
46,2503,3,2880.0,1.15061925689173,0.7940753492934954,1217,860,282
47,5877,2,-22850.0,-3.888038114684363,0.7901049725470279,2833,1994,695
48,2020,3,9400.0,4.653465346534653,0.7861544476842928,926,712,239
49,2431,3,-2140.0,-0.8802961744138215,0.7822236754458713,1203,766,289
