Episode,Steps,WoodCollected,TotalReward,AvgReward,Epsilon,MoveActions,TurnActions,AttackActions
0,5921,1,-20950.0,-3.5382536733659853,1.0,3203,1847,804
1,2941,3,5230.0,1.778306698401904,1.0,1586,937,376
2,1053,3,12360.0,11.737891737891738,1.0,558,324,148
3,1559,3,7420.0,4.759461193072482,1.0,854,476,211
4,5875,2,-10680.0,-1.817872340425532,1.0,3161,1833,802
5,3224,3,2500.0,0.7754342431761787,1.0,1703,1080,385
6,3238,3,-280.0,-0.08647313156269303,1.0,1726,992,454
7,3954,3,-4470.0,-1.1305007587253415,1.0,2171,1222,514
8,5830,1,-12430.0,-2.1320754716981134,1.0,3066,1923,792
9,798,3,10410.0,13.045112781954888,1.0,432,255,103
10,3373,3,4690.0,1.3904536021345983,1.0,1817,1108,423
11,2002,3,10670.0,5.329670329670329,1.0,1084,636,250
12,2532,3,5070.0,2.0023696682464456,1.0,1256,871,370
13,4693,3,-1180.0,-0.25143831238014064,1.0,2566,1471,584
14,4551,3,17630.0,3.873873873873874,1.0,2381,1549,568
15,5909,0,-28950.0,-4.899306143171433,1.0,3146,1935,758
16,1887,3,6720.0,3.56120826709062,1.0,928,695,250
17,741,3,11910.0,16.072874493927124,1.0,383,227,116
18,4831,3,-8850.0,-1.8319188573794245,1.0,2750,1485,554
19,1172,3,6940.0,5.921501706484642,1.0,570,378,206
20,3732,3,1520.0,0.40728831725616294,1.0,1951,1268,489
21,4969,3,-3060.0,-0.6158180720466895,1.0,2700,1584,621
22,2996,3,2440.0,0.8144192256341789,1.0,1627,959,374
23,3029,3,2110.0,0.6965995378012545,1.0,1636,939,409
24,5878,1,-8880.0,-1.5107179312691392,1.0,3188,1857,753
25,1931,3,2270.0,1.1755567063697565,1.0,1072,614,215
26,2434,3,270.0,0.11092851273623665,1.0,1304,730,363
27,3316,3,-3040.0,-0.916767189384801,1.0,1831,993,437
28,3023,3,5600.0,1.85246443929871,1.0,1615,911,461
29,4821,3,1870.0,0.38788633063679734,1.0,2629,1492,639
30,3450,3,1050.0,0.30434782608695654,1.0,1926,1057,443
31,3448,3,3170.0,0.9193735498839907,1.0,1906,1075,444
32,4020,3,-4330.0,-1.0771144278606966,1.0,2061,1325,572
33,3806,3,-520.0,-0.13662637940094588,1.0,1948,1226,583
34,2309,3,-2430.0,-1.0524036379385016,1.0,1230,715,338
35,2718,3,7130.0,2.623252391464312,1.0,1445,899,331
36,5751,3,-9800.0,-1.7040514693096853,1.0,3004,1926,723
37,2012,3,13270.0,6.595427435387674,1.0,1079,636,262
38,2560,3,3370.0,1.31640625,1.0,1343,795,377
39,3865,3,-5040.0,-1.3040103492884865,1.0,2111,1161,541
40,4237,3,1070.0,0.2525371725277319,1.0,2289,1311,580
41,2718,3,-200.0,-0.07358351729212656,1.0,1444,888,355
42,3021,3,-1510.0,-0.4998344918901026,1.0,1572,986,422
43,5882,1,-3630.0,-0.6171370282216933,1.0,3100,1876,819
44,4095,3,-440.0,-0.10744810744810745,1.0,2176,1333,538
45,2211,3,9420.0,4.260515603799186,1.0,1172,713,301
46,3808,3,-2040.0,-0.5357142857142857,1.0,2031,1227,497
47,1898,3,6210.0,3.2718651211801895,1.0,1017,592,274
48,3047,3,3320.0,1.089596324253364,1.0,1601,977,435
49,1717,3,5850.0,3.4071054164239953,1.0,910,575,212
