Episode,Steps,WoodCollected,TotalReward,AvgReward,Epsilon,MoveActions,TurnActions,AttackActions
0,1351,3,21340.0,15.795706883789785,1.0,689,450,186
1,677,3,15620.0,23.07237813884786,0.995,360,203,101
2,2404,3,11270.0,4.68801996672213,0.990025,1308,718,345
3,5659,3,-2720.0,-0.4806502915709489,0.985074875,2935,1912,728
4,1807,3,2020.0,1.117874930824571,0.9801495006250001,880,628,286
5,3549,3,13690.0,3.857424626655396,0.9752487531218751,1854,1141,472
6,3022,3,-2290.0,-0.7577763070814031,0.9703725093562657,1646,945,364
7,2385,3,550.0,0.23060796645702306,0.9655206468094844,1234,768,340
8,3059,4,9450.0,3.0892448512585813,0.960693043575437,1689,868,413
9,1615,3,7540.0,4.6687306501547985,0.9558895783575597,801,525,219
10,3416,3,-6090.0,-1.7827868852459017,0.9511101304657719,1786,1057,461
11,3931,3,660.0,0.16789620961587381,0.946354579813443,1976,1341,502
12,5177,3,-3850.0,-0.7436739424377052,0.9416228069143757,2616,1698,678
13,3761,3,1430.0,0.38021802712044667,0.9369146928798039,1896,1228,532
14,4715,3,-4810.0,-1.0201484623541888,0.9322301194154049,2445,1496,568
15,5742,3,-13180.0,-2.295367467781261,0.9275689688183278,3067,1795,728
16,2289,3,800.0,0.34949759720401924,0.9229311239742362,1132,784,303
17,5874,1,-27960.0,-4.759959141981614,0.918316468354365,2991,1903,743
18,4143,3,3390.0,0.8182476466328747,0.9137248860125932,2062,1300,527
19,5905,0,-28970.0,-4.906011854360711,0.9091562615825302,2937,1966,743
20,5062,3,3640.0,0.7190833662583959,0.9046104802746175,2471,1687,684
21,3250,3,5550.0,1.7076923076923076,0.9000874278732445,1692,1070,386
22,3401,3,-2640.0,-0.7762422816818583,0.8955869907338783,1713,1140,395
23,5896,2,-17730.0,-3.007123473541384,0.8911090557802088,2994,1825,798
24,4773,3,-5950.0,-1.2465954326419442,0.8866535105013078,2340,1545,593
25,2886,3,500.0,0.17325017325017325,0.8822202429488013,1404,993,344
26,5857,3,-13700.0,-2.3390814410107565,0.8778091417340573,2973,1892,692
27,5134,3,-7050.0,-1.3731982859368914,0.8734200960253871,2483,1712,613
28,5243,3,-5270.0,-1.0051497234407782,0.8690529955452602,2601,1710,608
29,2831,3,-2890.0,-1.020840692334864,0.8647077305675338,1460,862,297
30,2029,3,7210.0,3.5534746180384427,0.8603841919146962,1027,633,255
31,2709,3,480.0,0.17718715393134,0.8560822709551227,1224,940,333
32,2319,3,3810.0,1.6429495472186286,0.851801859600347,1148,759,260
33,5857,2,-26790.0,-4.574014000341472,0.8475428503023453,2686,1978,707
34,3688,3,-9850.0,-2.670824295010846,0.8433051360508336,1856,1148,415
35,5866,1,-27630.0,-4.710194340265939,0.8390886103705794,2659,1896,771
36,2500,3,1980.0,0.792,0.8348931673187264,1225,744,319
37,2750,3,-3940.0,-1.4327272727272726,0.8307187014821328,1329,923,337
38,5642,3,-17360.0,-3.076923076923077,0.8265651079747222,2737,1784,648
39,1562,3,5630.0,3.6043533930857876,0.8224322824348486,719,547,183
40,3366,3,-1460.0,-0.43374925727866903,0.8183201210226743,1555,1126,438
41,2750,3,2910.0,1.0581818181818181,0.8142285204175609,1250,963,311
42,3877,3,-3640.0,-0.9388702605107041,0.810157377815473,1781,1292,466
43,3470,3,-5860.0,-1.6887608069164266,0.8061065909263957,1614,1141,416
44,5391,3,-19120.0,-3.546651827119273,0.8020760579717637,2578,1820,548
45,2697,3,3560.0,1.3199851687059696,0.798065677681905,1264,917,306
46,2441,3,-20.0,-0.00819336337566571,0.7940753492934954,1179,774,294
47,4946,3,-10770.0,-2.177517185604529,0.7901049725470279,2317,1586,580
48,2001,3,1620.0,0.8095952023988006,0.7861544476842928,891,643,267
49,3233,3,-1440.0,-0.4454067429631921,0.7822236754458713,1447,1144,392
